Prompt,Goal,Relevant_skill,Difficulty
"It is a truth universally acknowledged, that a single bird in possession of a good fortune, must be in want of a lady bird. So it was when you saw a beautiful lady duck one sunny summer morning. HOW DO YOU DECLARE YOUR LOVE TO THE LADY DUCK?",Make the lady duck fall in love with you.,Avian_charm,10
"Now no longer interested in romance, but instead hungry, you see a 5 year old eating a hotdog at a park bench. HOW DO YOU GET THAT HOT DOG?",Eat the hot dog!,Larceny,10
"Fed and romantically satisfied, you turn toward the problems of an unjust society. You see a statue, and recognize it as the portrait of a colonizin' sonofagun. HOW DO YOU SHOW YOUR DISRESPECT FOR THE STATUTE?",Desecrate the statue,Iconoclasism,5
"As a crowd cheers your bravery, you see the #14 bus stopping nearby. You've always dreamed of driving a city bus, maybe this is your chance! HOW DO YOU CONVINCE THE DRIVER TO LET YOU DRIVE THE BUS?",Convince the driver to let you drive the bus,Avian_charm,15
"OK, bird at the wheel! One of the passengers requests the next stop. HOW DO YOU BRING THE BUS SAFELY TO A STOP?",Stop the bus ,Wheelsmanship,5
"The passenger gets off, and actor Keanu Reeves gets on! He would ride the bus, he's so down to earth. Suddenly the radio crackles, and you pick up the receiver. HOW DO YOU CONVINCE THE PERSON ON THE OTHER END THAT YOU ARE A BUS DRIVER AND NOT A BIRD?",Convince the person on the radio you're the bus driver now,Insouciance,10
"The person on the radio says if the bus goes below 55 miles per hour, it will explode! Keanu seems to think he should drive the bus because he's an action hero and not a bird. HOW DO YOU CONVINCE KEANU TO LET YOU DRIVE THE BUS!",Convince Keanu to let you drive the bus,Leadership ,10
"You are still driving the bus, but you notice the highway ranmp ahead of you is not finished. You'll have to jump it! HOW DO YOU MAKE SURE THE BUS CLEARS THE GAP?",Make the jump,Wheelsmanship,15
"You clear the jump, but now passengars are freaking out. What a bunch of pigeons! HOW DO YOU CALM THEM DOWN?",Calm down the passengers,Leadership ,10
"You know you need to get the passengers off the bus, but how? Then opportunity presents itself. You see a passing flock of geese! HOW DO YOU ATTRACT THEIR ATTENTION AND GET THEIR HELP?",Get the help of the passing flock of geese,,15
"The geese lift each passenger to safety, and only poop a little bit. Now it's just you and Keanu. HOW WILL YOU BOTH ESCAPE THE EXPLODING BUS TO SAFETY?",Escape the bus before it explodes,Flying,15
Keanu is super grateful and giving you romance eyes. HOW DO YOU LET HIM KNOW YOU STILL LOVE THE LADY DUCK?,Make Keanu feel ok about the lady duck.,Avian_charm,10
"The mayor wants to give you a medal, but you recognize it's a photo op for him, and also recall a recent corruption scandal involving some shady casino bids. HOW DO YOU SHOW THE MAYOR YOU DON'T NEED HIS TRINKETS?",Insult the mayor,Iconoclasism,1
It's just you and the lady duck now. HOW DO YOU SPEND THE REST OF YOUR BEAUTIFUL LIVES TOGETHER?,Live a happy life,Phronesis,5
