Prompt,Goal,Relevant_skill,Difficulty
"Oh man! You're so excited. It's time for your second ever comic book convention! The first one was nearly ruined due to costuming conflicts, but not this one! WHAT COSTUME WILL YOU WEAR THIS TIME?",Pick a costume,Aesthetics,5
"You look great! But you're short on cash, so you and your friends decide to sneak your lunches in rather than paying convention prices. WHAT WILL YOU PACK FOR YOUR SECRET LUNCH?",Pack a lunch you can sneak in to a convention with.,Stealth,7
"Your lunch skillfully hidden, you enter the main exhibition hall with the guards none the wiser! It's still 40 minutes until the first panel opens, so you have time to kill. WHAT DO YOU DO TO PASS THE TIME?",Pick something enjoyable you can do at a comics convention,Joie de vivre,3
"You are making your way through the convention when you spy someone in an absolutely perfect Magnor costume! He's the villain of your favorite series, and is always making trouble with volcanos. HOW DO YOU GET HIS ATTENTION?",Get Magnor's attention,Sociability,5
"Oh no! It actually is Magnor! And he smiles at you with an evil grin, picks you up, and carries you to his LavaMobile. You can't see where he's driving you, but you can hear, smell, taste, and feel things. HOW DO YOU FIGURE OUT WHERE YOU ARE BEING TAKEN?",Come up with a reasonable way to guess where you are going,Navigation,5
"You're in Magnor's volcano lair, and it looks like kidnapping you was just one part of an evil volcano-related plan! The guards are leading you to a prison cell. HOW DO YOU ESCAPE THE GUARDS?",Give the guards the slip!,Craftiness,8
"You've escaped the guards, but you have to hide somewhere while you figure out a plan. WHERE DO YOU HIDE IN THE SECRET VOLCANO LAIR?",Pick a good hiding place,Stealth,7
"You decide you are going to have to stop Magnor yourself! But to do that, you'll need a disguise. HOW DO YOU GET A DISGUISE SO YOU LOOK LIKE A VOLCANO WORKER?",Obtain a disguise,Craftiness,8
"Shoot, you are really hungry though. You duck into the break room and start to eat your hidden lunch. But some volcano workers come in! WHAT DO YOU SAY TO THEM AS SMALL TALK?",Bring up a topic of general interest,Sociability,6
"Hunger satiated, you make your way to the control room. You see that Magnor is going to release a lot of lava to burn the comics convention! In front of you is the control panel, covered with bright, beautiful buttons. You've got to try something so you start pressing buttons. WHAT BUTTONS DO YOU PRESS?",Any entry,Aesthetics,0
"You've done it! The volcano is going to melt down and the comic book aficionados will be safe. But you've got to escape now, and fast. You spy a bicycle, a helicopter, and an open window. HOW DO YOU ESCAPE?",Escape the imminently exploding volcano,Speed,10
"You're out of the volcano but you need to get back to the convention. You're in an unfamiliar area, though, and don't recognize any landmarks. HOW DO YOU FIGURE OUT YOUR WAY BACK?",Navigate back to the convention,Navigation,3
You get back to the convention and see your friends. They notice that you've changed into a Magnor volcano worker uniform. HOW DO YOU EXPLAIN YOUR ABSENCE AND NEW OUTFIT?,Explain your absence and new costume.,Craftiness,5
"You missed nearly all of the convention, but there is still an hour or two left. HOW DO YOU MAKE THE MOST OF YOUR REMAINING TIME?",Pick something enjoyable you can do at a comics convention,Joie de vivre,2
