Prompt,Goal,Relevant_skill,Difficulty
You and the girls from Huntr/x have just completed a world tour and are excited to take a break. No one can decide how to spend the next week off. HOW DO YOU WANT TO SPEND YOUR TIME OFF?,Name a leisure activity acceptable to the members of Huntr/x,Friendship,5
"Super relaxing! Later, at the spa, you notice more and redder steam than usual. Demons! HOW DO YOU FIGHT OFF THE DEMONS",Rout the demons,Fighting,8
You and the girls from Huntr/x are confused. Didn't you get rid of the demons with your cool rainbow Honmoon? You decide to investigate by talking to one of the demons you catch as he tries to escape. HOW DO YOU CONVINCE THE DEMON TO TALK TO YOU?,Get the demon to agree to talk to you.,It_Factor,10
"The demon says Gwi-ma is behind the attack! He is really mad that you broke up the Saja Boys. You decide to talk to the manager of the Saja Boys, an old man named Jeff. He is across town promoting a new band, but only for the next 20 minutes! HOW DO YOU GET ACROSS TOWN IN TIME?",Get across town in time.,Dance,10
"You arrive and Jeff shoves you on stage...Oh no, it's a trap and you are stuck on stage with a dance crew. Quick! NAME A DANCE YOU CAN DO WELL ENOUGH TO FIT IN!",Name a dance,Dance,10
Suddenly the dancers all walk off stage and the spotlight shines on you. Uh oh! Better sing something! WHAT SONG WILL YOU SING?,Name a song.,It_Factor,12
"The crowd is on your side now! You need to convince them to help you capture Jeff. You start making up a song about how mean he is but need to come up with some lyrics, fast! NAME SOMETHING THAT RHYMES WITH ""Jeff is real bad.""","Come up with a lyric that rhymes with ""Jeff is real bad"" to impress the crowd.",Lyrics,10
"You did it! The crowd surges forward and carries Jeff back to you and the members of Huntr/x. But Jeff says, ""I'm not in league with Gwi-ma, Huntr/x is!"" HOW DO YOU CONVINCE THE CROWD YOU ARE NOT A DEMON?",Convince the crowd you are not a demon.,Not_looking_like_a_demon,8
"The crowd isn't buying Jeff's lies, and he confesses that he agreed to help Gwi-ma because he thought it would make him have friends. HOW CAN YOU CONVINCE JEFF TO BE YOUR FRIEND INSTEAD?",Convince Jeff  that you want to be his friend.,Friendship,12
Jeff is going to help you! He says the rainbow Honmoon doesn't work because red means demons can get through. You need to choose a color scheme that excludes red! PICK THREE COLORS!,"Name three colors, none of which can be red.",It_Factor,8
"Great, that sounds like an awesome color scheme! Jeff offers to plug you into his secret evil radio transmitter that will send your new song all over.the world to stop the demons getting through. WHAT CLASSIC HUNTR/X SONG WILL YOU SING TO STOP THE DEMONS?",Name a K-Pop Demon Hunters Song,Lyrics,5
"Just at the peak of Rumi's solo, a demon named Ben comes to steal the microphone. HOW DO YOU DEFEAT THE DEMON BEN?",Fight off the demon Ben.,Fighting,10
"Gwi-ma is powering up his own demon radio station, using ships moored in international waters  That's a clever way to get around FCC regulations, but it won't stop you! It's time for your best song yet, even better than Golden. WHAT METAL WILL YOU SING ABOUT?",Name a metal.,Lyrics,5
"Gwi-ma's music sounds terrible compared to your awesome new song. Once again he is defeated, and you and the girls from Huntr/x can take a break. HOW WILL YOU CELEBRATE?",Name any way you might celebrate a victory over a Korean Demon.,Friendship,5
